control1	control2	control3	tumour1	tumour2	tumour3
	16.6921756942255	16.7699706848943	16.7320004054283	16.6976116380118	16.727128699615	16.7288439347083
A1BG	6.01396114602311	5.64623507725319	6.31344860840443	6.03099872023427	6.23062419229707	5.49102022563033
A1CF	1.61391728650533	0	3.27366175352605	1.24846936825737	2.15430591241059	1.63447772752157
A2M	12.2339693626488	12.0188654933531	12.1709333648769	11.9682727330609	11.8495104227559	12.0717021526889
A2ML1	3.34846957192423	1.04340955327625	2.09477262522057	4.33135936561997	3.53070285459413	4.58137869076246
A2MP1	5.1947857775306	5.43718774761712	5.17918319806408	5.71520177733876	5.38449095774425	5.87307313321508
A3GALT2	0.9924811170393	0	0	0.993532377825115	0	0
A4GALT	1.49717742291253	1.32245009010259	0.470313429461474	3.06694428900694	1.43689087211781	1.32495621197928
A4GNT	1.98870692952904	1.59242682832446	2.59290172977463	1.9902876612261	1.5796221976596	1.59521764453552
AAAS	10.0525008182777	9.99922190650717	10.0102193880809	9.99389081395152	9.9020568264433	10.0153401807584
AACS	10.3800037789017	10.2695265614653	10.1316014449346	10.1790181075202	10.1073384100332	9.77249052752369
AACSP1	2.16907263468708	0.798695983280691	1.66104065397727	0.788479920254059	0	1.31228239508699
AADAC	0.9924811170393	0	0	0	0	0
AADACL2	0	0	0	0	0	0
AADACL3	0.992481117039301	0	0	0	0.995996627073578	0
AADACL4	0	0	0	0.993532377825115	0.995996627073578	0
AADACP1	0	0	0	0	0	0
AADAT	8.54028973207169	8.21911098646297	8.55274079995559	8.48135689856573	8.72324076493756	8.5266023785819
AAGAB	10.6678255249819	10.6396569108377	10.5554050761293	10.3243922040914	10.5407153083185	10.4236613912075
AAK1	6.42993205449234	5.95931394317857	6.34548717425753	6.73634318461513	6.49436385953589	6.47238071427078
AAMDC	8.05468039077095	8.13996862182015	8.20382618956314	8.05774850804369	8.05358218542729	8.10939038817283
AAMP	10.547056787724	10.3090918532975	10.2189183538136	10.5120240349885	10.3391018247175	10.1433434593068
AANAT	0	2.1605494248191	0.645540604669662	2.1418017224774	1.37885125029488	1.09303529753422
AAR2	10.1791231996103	10.2456365840748	10.1847358296854	10.310322081162	10.1302011988576	10.1521993537303
AARD	3.51194218592505	4.22749420328403	3.83381226267285	3.72663246662062	4.24876042343562	3.45741389749889
AARS1	12.8370626975585	12.9027242041525	12.8192793684754	12.672409228057	12.5599283376893	12.5583370683934
AARS1P1	0	0	0	0	0	0
AARS2	9.31647482330417	9.24811662333052	9.14493624170262	9.29145058236266	9.11522669849203	8.79480768798635
AARSD1	8.84143546139293	8.77283354865248	8.50946268868388	8.88597448017136	8.61617271259532	8.9720616276951
AARSD1P1	1.57492859013107	2.00839465896162	3.00833504595376	2.31156593616377	1.99399076698908	2.01153192637014
AASDH	8.55553716248051	8.64587701172209	8.78965291436192	8.45252264348726	9.03900148863305	8.69726012375874
AASDHPPT	10.5645375197147	10.5624293486195	10.6245157159891	10.5187466921634	10.8192780286035	10.7066055328494
AASS	10.2312763728996	10.4693117972393	10.3581441004477	10.1297573992613	10.40895675891	10.6072133206916
AATF	10.4033596098763	10.3991226673703	10.4506523856499	10.3628491268938	10.3508193992937	10.4583988751267
AATK	8.13477759945009	7.09042571504837	7.46281142174671	7.80639772273422	7.51284351467665	6.97609875988431
