control1	control2	control3	tumour1	tumour2	tumour3
	105886.715070843	111753.28969901	108850.397587219	106286.442953254	108483.447101532	108612.502087763
A1BG	63.6223426445459	49.0825139681636	78.5311765402586	64.3900272884189	74.0939196431727	43.9740289083366
A1CF	2.06081804987937	0	8.6709777357268	1.37589218223377	3.4515442980737	2.1047513402389
A2M	4816.16746180487	4148.9133365469	4610.22186102328	4005.90539767999	3689.26939280111	4303.71542666591
A2ML1	9.18567420098521	1.06109292869879	3.2715883589257	19.1311734646363	10.5570625820591	22.9404554017744
A2MP1	35.6257342642984	42.3267989708154	35.231765401735	51.5348100418112	40.7727714312676	57.6099269146683
A3GALT2	0.989603729563844	0	0	0.991054039265601	0	0
A4GALT	1.82289882610979	1.50090471244069	0.385410419638585	7.37996541049508	1.70736776050317	1.50525283780481
A4GNT	2.96881118869153	2.01556185575311	5.033109343105	2.9731621177968	1.98891567957403	2.02140094437433
AAAS	1060.95050979077	1022.44787159378	1030.27929615155	1018.67297335676	955.788889508835	1033.94628793871
AACS	1331.57755043508	1233.34208419475	1120.80130021099	1158.28382604604	1102.09276909775	873.606662048606
AACSP1	3.49734211497794	0.739528098937008	2.16244558031418	0.727253601778528	0	1.4833410280272
AADAC	0.989603729563844	0	0	0	0	0
AADACL2	0	0	0	0	0	0
AADACL3	0.989603729563844	0	0	0	0.994457839787016	0
AADACL4	0	0	0	0.991054039265601	0.994457839787016	0
AADACP1	0	0	0	0	0	0
AADAT	371.291723145163	296.988116137224	374.518662943335	356.390357062845	421.626893589923	367.776363180654
AAGAB	1625.8048988123	1594.34962188487	1503.85114932279	1281.18809573589	1488.60624221645	1372.51922761231
AAK1	85.2188882385833	61.2203214490307	80.3171176926114	105.620658306492	89.1567659319071	87.793410716986
AAMDC	264.889019866375	281.081574408949	293.847712165419	265.455076258926	264.686697390552	275.165709867756
AAMP	1495.16833502489	1267.66183693633	1190.79332236958	1459.27466223945	1294.32807177237	1129.96883476703
AANAT	0	3.47085087238013	0.564325358256506	3.41312839795384	1.60061214201746	1.13322375330152
AAR2	1158.36827632435	1213.07058361583	1162.88744292096	1268.74412302783	1119.71303430444	1136.93256848141
AARD	10.4077485794805	17.7327941884207	13.2591122810532	12.2381761397053	18.0109724220853	9.98462639819371
AARS1	7316.13264816751	7656.85275043282	7226.49188481198	6526.92708712268	6037.30676860927	6030.65028557847
AARS1P1	0	0	0	0	0	0
AARS2	636.585417652223	607.079702462469	565.109075388288	625.621552878352	553.570359109659	443.120602364187
AARSD1	457.709018389405	436.407318431351	363.42110132247	472.091188510015	391.39768298756	501.180301251587
AARSD1P1	1.97920745912769	3.02334278362967	7.046353080347	3.9642161570624	2.98337351936105	3.03210141656149
AASDH	375.247233175324	399.56068340462	441.536583536984	349.318324233976	525.030079741574	414.084175992593
AASDHPPT	1513.40726279948	1511.19591666487	1577.69386015553	1466.09511537454	1805.87129310949	1670.12685020169
AASS	1201.04598496398	1416.67566614797	1311.53856784521	1119.36833533096	1358.59077132065	1558.87349941228
AATF	1353.32625644194	1349.35467234724	1398.45791370691	1315.8261057552	1304.89157159094	1405.99245336604
AATK	280.068428516678	135.279591237304	175.41279871851	222.851429769398	181.638045390723	124.896883468583
ABAT	588.869712645386	561.93159450846	639.043396764005	678.705769930292	730.661374466333	632.336918239751
ABCA1	566.273035082945	623.967683677423	555.05850827723	543.527148964037	576.106781554281	675.240507125861
ABCA10	59.2114704236036	25.0558944071909	77.8927286593083	76.5056456606862	72.8317684923575	67.5562113166848
ABCA11P	116.423686101237	107.177676126211	105.037832460852	116.186280627637	119.776906901002	154.799589105674
ABCA12	330.826647885867	415.429468301157	385.854592723591	377.396147195204	344.978069288645	349.311351148443
ABCA13	52.6467704919003	64.6474436399746	64.7472215776156	82.3475497154618	102.779309418494	80.1454870128586
ABCA15P	16.7355936445493	20.5216666149237	16.60862510964	12.3322392350969	5.7467099505693	15.7988849753816
ABCA17P	12.2819767071176	2.41721471736487	1.9846907068542	7.81598653093171	1.96070768429402	16.1467282225076
ABCA2	580.023605077569	379.93053757321	341.527661427404	666.621010771408	329.64576286846	188.828505280183
ABCA3	19.6196772762341	32.4619572866098	46.0403056857155	19.7996617497277	19.6046620330358	5.13383541765957
ABCA3P1	0	0	0	0	0	0
ABCA4	4.63443938796936	0.172838158335625	0	0	2.47632130085048	0
ABCA5	1167.36970189271	1250.35628134232	1371.32866197572	1306.15917284376	1453.13878585011	1884.09688059056
ABCA6	132.826771642935	149.262711377573	222.971076009543	223.632096927179	217.929023824252	334.207233019261
ABCA7	361.063849058015	296.407105414535	304.885815118322	480.220885312477	345.395546749346	289.718652295967
ABCA8	258.586700232018	389.918519521797	352.714046980172	383.099745852458	557.603921120835	445.654626427722
ABCA9	67.9007690546609	85.5170265776334	54.4443369479063	85.2944861848651	50.1171760374724	94.7334801601097
ABCB1	60.2132818200211	41.534894371839	74.0928772771838	89.3443834166688	97.80276789087	62.1734946285453
ABCB10	518.457943004001	647.136922024464	502.488671053207	460.549856713835	493.579926628734	526.627625493683
ABCB10P1	0	0	0	0	0	0
ABCB10P3	0	0	0	0	0	0
ABCB10P4	0	0	0	0	0	0
