Gene	Ensembl ID	Chromosome	Start	Stop	Strand	Description	Log2FC	P-value	Adj P-value
IL24	ENSG00000162892.16	1	206897443	206904139	+	interleukin 24	-2.20135962222569	3.97529636971866e-82	4.61123317920975e-78
SLAMF7	ENSG00000026751.17	1	160739057	160754821	+	SLAM family member 7	-1.58433429971936	0.000257055826998326	0.0302165452727681
HDAC9	ENSG00000048052.25	7	18086949	19002416	+	histone deacetylase 9	-1.34527791472133	7.12436459412279e-07	6.0321640138964e-05
PADI1	ENSG00000281459.3	HG2095_PATCH	47642	88521	+	peptidyl arginine deiminase 1	-1.268192864093	0.000154317093288036	0.0224059041925495
PADI1.1	ENSG00000142623.11	1	17205128	17246007	+	peptidyl arginine deiminase 1	-1.268192864093	0.000154317093288036	0.0224059041925495
IL18BP	ENSG00000137496.19	11	71998613	72007315	+	interleukin 18 binding protein	-1.24814119461414	0.000118385093614737	0.0162317628399991
ACSS2	ENSG00000131069.20	20	34872146	34927962	+	acyl-CoA synthetase short chain family member 2	-1.22214517620265	4.43001440294137e-30	2.41705678497546e-27
CD274	ENSG00000120217.14	9	5450503	5470566	+	CD274 molecule	-1.1656071161279	7.11321814234616e-07	0.000112198096335247
CPNE7	ENSG00000178773.15	16	89575758	89597246	+	copine 7	-1.14104291380022	2.4171949426264e-10	1.12656171623996e-07
HMGCS1	ENSG00000112972.15	5	43287470	43313512	-	3-hydroxy-3-methylglutaryl-CoA synthase 1	-1.1394469677254	2.67836184263136e-33	1.87509084587239e-30
IDO1	ENSG00000131203.13	8	39902275	39928790	+	indoleamine 2,3-dioxygenase 1	-1.12829521101379	0.000284108048203746	0.011083448110216
CEACAM1	ENSG00000079385.23	19	42507304	42561234	-	CEA cell adhesion molecule 1	-1.11765427553902	2.84851744435167e-17	1.6176267101534e-14
TM7SF2	ENSG00000149809.17	11	65111845	65116384	+	transmembrane 7 superfamily member 2	-1.05153274234964	1.10588713955695e-05	0.000769613948531198
