Gene	Ensembl ID	Chromosome	Start	Stop	Strand	Description	Log2FC	P-value	Adj P-value
ID3.1	ENSG00000117318.9	1	23557926	23559501	-	inhibitor of DNA binding 3	5.3092280523259	6.96011922967009e-59	6.13311655764948e-55
ID1	ENSG00000125968.9	20	31605283	31606515	+	inhibitor of DNA binding 1	4.6410881318941	9.1026906188563e-06	0.00725772452669886
ADAMTS12	ENSG00000151388.11	5	33523535	33892019	-	ADAM metallopeptidase with thrombospondin type 1 motif 12	3.89307473747076	2.21794528451218e-07	0.000297718673793291
SERPINA3	ENSG00000196136.18	14	94612384	94624055	+	serpin family A member 3	2.52220856863633	1.22901308979476e-07	3.70108830155557e-05
ID2	ENSG00000115738.10	2	8678845	8684461	+	inhibitor of DNA binding 2	2.36989661329242	1.3365084246838e-54	4.0931064112732e-51
COL9A3	ENSG00000092758.18	20	62816244	62841159	+	collagen type IX alpha 3 chain	1.98863626269783	1.46022755533235e-10	2.85761348625972e-08
CXCL5	ENSG00000163735.7	4	73995642	73998677	-	C-X-C motif chemokine ligand 5	1.982489070764	4.134366770243e-76	7.68980456546481e-73
TGFA	ENSG00000163235.16	2	70447284	70554193	-	transforming growth factor alpha	1.85788701336684	3.37360675285018e-08	1.31203463733226e-05
SKIL	ENSG00000136603.15	3	170357342	170396835	+	SKI like proto-oncogene	1.82218572598268	2.68601794014378e-17	1.19939868359404e-14
PMEPA1	ENSG00000124225.16	20	57648392	57711536	-	prostate transmembrane protein, androgen induced 1	1.79805424322967	1.46044601982709e-28	6.01320348555999e-25
OR2I1P.6	ENSG00000237988.6	6	29550407	29557773	+	olfactory receptor family 2 subfamily I member 1 pseudogene	1.79656912409137	9.05594148238625e-05	0.0131796625883638
CXCL3	ENSG00000163734.4	4	74036589	74038807	-	C-X-C motif chemokine ligand 3	1.71588398747877	2.56628949486555e-08	9.08402940781239e-06
IGFBP5	ENSG00000115461.5	2	216672105	216695549	-	insulin like growth factor binding protein 5	1.70740394652518	8.12430022585661e-09	1.06575493889966e-06
UBD.6	ENSG00000213886.4	6	29555515	29559732	-	ubiquitin D	1.70018457112995	6.04753275406344e-09	8.11149686835927e-07
SLC38A3	ENSG00000188338.15	3	50205246	50221486	+	solute carrier family 38 member 3	1.65356809108833	0.000249087795829263	0.0274842187941066
ESRRG	ENSG00000196482.18	1	216503246	217137755	-	estrogen related receptor gamma	1.63505679661468	0.000177749944933276	0.0247705896556373
CXCL2	ENSG00000081041.9	4	74097040	74099196	-	C-X-C motif chemokine ligand 2	1.63298145370375	4.57432601969952e-11	2.82728853117519e-08
TGFBI	ENSG00000120708.17	5	136028988	136063818	+	transforming growth factor beta induced	1.59197761764023	8.86951456162329e-68	3.4294633679464e-64
LGI4	ENSG00000153902.14	19	35124513	35142451	-	leucine rich repeat LGI family member 4	1.56603002589743	0.000432269659521873	0.0415175578106224
FRZB	ENSG00000162998.5	2	182833275	182866637	-	frizzled related protein	1.55661012086582	1.39237411400047e-08	1.66506724790386e-06
IFITM10.1	ENSG00000244242.2	11	1732406	1750595	-	interferon induced transmembrane protein 10	1.53105842126509	2.07135823023758e-06	0.00060659469000466
TSC22D1	ENSG00000102804.16	13	44432143	44577147	-	TSC22 domain family member 1	1.37826340917212	9.13332298219048e-25	7.06293368761606e-22
CXCL6	ENSG00000124875.10	4	73836640	73849064	+	C-X-C motif chemokine ligand 6	1.36437238366417	7.36192529979662e-13	5.84505130164611e-10
ACAN	ENSG00000157766.19	15	88803436	88875353	+	aggrecan	1.36354205462881	2.41318275831755e-18	1.16634368943062e-15
TCN1	ENSG00000134827.8	11	59852800	59866489	-	transcobalamin 1	1.31862635413815	6.11020144176338e-26	7.79696565866187e-23
PTGIS	ENSG00000124212.6	20	49503874	49568137	-	prostaglandin I2 synthase	1.28894144195279	0.000486417267954038	0.0480706405051039
FGFRL1	ENSG00000127418.15	4	1009936	1026898	+	fibroblast growth factor receptor like 1	1.2861106311769	1.2086214000051e-17	1.19939868359404e-14
LSAMP	ENSG00000185565.13	3	115802374	117139389	-	limbic system associated membrane protein	1.24055898635404	1.62871477759675e-27	1.71751256748663e-24
SCRG1	ENSG00000164106.8	4	173384701	173406380	-	stimulator of chondrogenesis 1	1.23743425962396	1.36800189206691e-07	3.40687935146201e-05
KRT6B	ENSG00000185479.6	12	52446651	52452146	-	keratin 6B	1.20720621826662	3.55385819246014e-05	0.00562390078819354
FXYD3	ENSG00000089356.19	19	35115823	35124324	+	FXYD domain containing ion transport regulator 3	1.1331419291301	4.0376429308764e-08	4.41844665604344e-06
CCN3	ENSG00000136999.5	8	119416446	119424434	+	cellular communication network factor 3	1.125586388178	7.96594919653166e-49	1.24336907904687e-45
CCL2	ENSG00000108691.10	17	34255274	34257208	+	C-C motif chemokine ligand 2	1.10618503053482	1.85968993301728e-08	6.38573735783206e-06
SEL1L3	ENSG00000091490.11	4	25747433	25863760	-	SEL1L family member 3	1.0917251253135	8.84046479414947e-06	0.00062214229139679
COL7A1	ENSG00000114270.18	3	48564073	48595329	-	collagen type VII alpha 1 chain	1.08910013891347	3.4738746188205e-06	0.000256662286614971
PTPRZ1	ENSG00000106278.12	7	121873089	122062036	+	protein tyrosine phosphatase receptor type Z1	1.08447815552898	1.86757011374225e-05	0.00114620601491643
VCAN	ENSG00000038427.16	5	83471618	83582303	+	versican	1.05606604506703	1.78560994964493e-27	1.12159159334567e-24
GLDC	ENSG00000178445.10	9	6532467	6645729	-	glycine decarboxylase	1.05540972795243	1.14504909618546e-09	5.05066453977466e-07
CXCL1	ENSG00000163739.5	4	73869393	73871308	+	C-X-C motif chemokine ligand 1	1.01828750649522	1.60138123888232e-06	7.35975885965719e-05
CXCL8	ENSG00000169429.12	4	73740519	73743716	+	C-X-C motif chemokine ligand 8	1.00480306680067	1.28463443798888e-10	6.25794758816677e-08
